"sentence","category"
"I like the app but the stats don't update correctly.","PROBLEM DISCOVERY"
"I know I've received more views and yet it doesn't update.","OTHER"
"I also tried to edit my post but it didn't go through until I logged onto my laptop.","PROBLEM DISCOVERY"
"Otherwise, Nice app.","OTHER"
"Is there any way we can post new product (for online store) from this mobile app?","INFORMATION GIVING"
"A new material design update has a pleasing effect on the usability of the app.","OTHER"
"After your 3.5 update I have not been able to use this app.","PROBLEM DISCOVERY"
"I wish I could change my score,  and I will as soon as my samsung galaxy note is able to use this app again.","FEATURE REQUEST"
"The app never makes it past the white screen before asking me to close the app.","OTHER"
"Since the latest update I can't pull down to refresh the Posts page.","PROBLEM DISCOVERY"
"Please fix!","PROBLEM DISCOVERY"
"Its coolest app for notes and blogs.","OTHER"
"Why update a good thing?","INFORMATION SEEKING"
"My stats are all off now.","OTHER"
"Navigating to a place to search tags is too complex.","OTHER"
"App is completely off with regards to the back button.","OTHER"
"Keeps taking me out of the app instead of the previous page.","OTHER"
"It does posting easy when you're away from PC, well loading times should be decreased and it has some issues uploading media files every single post i did has problems adding img files, all the photos that are uploaded gets to the starting point of the post and the we have to manually adjust the html code and editor can have features that are available in full WordPress of course and make editor better, new material approach is amazing, slide out bar can be little bit more ""less crowdy""","FEATURE REQUEST"
"Good for blogging.","OTHER"
":)","OTHER"
"This used to be an amazing app.","OTHER"
"I posted most of my posts through the app instead of on my computer.","INFORMATION GIVING"
"Since the update the app no longer works, and is extremely frustrating","PROBLEM DISCOVERY"
"Having to log out,  retype a site credentials  to switch sites is wasteful","OTHER"
"Back to overloading the server, and bringing it to it's knees.","OTHER"
"My host emailed me with graphs and asked me to stop using it.","OTHER"
"Last iteration was great, this update its terrible","INFORMATION GIVING"
"yes","OTHER"
"I want it has more funtion as pasible.","OTHER"
"can't pull my posts can't pull my pages can't post on blog.","PROBLEM DISCOVERY"
"Always says peer certicafate issue.","OTHER"
"The developers, QA engineers and PM should be hang in public.","FEATURE REQUEST"
"Using on Samsung Note2, with Kitkat","OTHER"
"Best app for sharing individual thought","OTHER"
"Great","OTHER"
"Since the update (according to previous posters) it will not let me share to my Facebook page.","OTHER"
"Please fix so I can love it again!","PROBLEM DISCOVERY"
"Excellent, it's clean, easy to navigate, just overall good","OTHER"
"U need to update the layout of app like the new dashboard.","FEATURE REQUEST"
".","OTHER"
"The interface is very old .","OTHER"
"and more and more the people using the app to react with them blog","OTHER"
"Short of words","OTHER"
"it's a great way for me to except and move on from tragities or just simply day to day crap","OTHER"
"So bad","OTHER"
"In this app we can learn any to use full us","OTHER"
"This app works well for what I need it for.","FEATURE REQUEST"
"Clean amd simple.","OTHER"
"Also, the support team is top notch.","OTHER"
"When I try to upload a photo to a post it breaks the post and doesn't display the photo, only the HTML markup.","PROBLEM DISCOVERY"
"Then I have to hit a browser and fix it, which makes posting on the fly useless.","INFORMATION GIVING"
"If this was fixed, I'd go to 4 stars.","OTHER"
"If i could define a photo resize for uploaded photos, 5 stars.","FEATURE REQUEST"
"It is not stable yet.","OTHER"
"It stucks to drag Menu in Apparent.","OTHER"
"Beat Google to the punch with it.","OTHER"
"Does not respond since update","INFORMATION SEEKING"
"account not cardit","OTHER"
"Please support RTL in the app for Arabic language","OTHER"
"Everyone keeps talking about WordPress.","OTHER"
"But what is worth the point of picking out a theme if the app doesn't reflect it.","OTHER"
"Its just ugly blue basic ui.","OTHER"
"I'm not very impressed at the hype at all.","OTHER"
"Solved login.","OTHER"
"Great Material Design.","OTHER"
"Please do not convert special character in [sourcecode] tag","INFORMATION GIVING"
"Nice","OTHER"
"Was great, but just updated itself, 08/01/2015 & desperately slow to respond/display :(","OTHER"
"Average","OTHER"
"It has ruined the perfect app.","OTHER"
"I can't do much now with the new update.","PROBLEM DISCOVERY"
"Can't see 'stats' etc.","PROBLEM DISCOVERY"
"Please fix it asap.","PROBLEM DISCOVERY"
"Mast","OTHER"
"It used to be so good.","OTHER"
"I don't know what happened with this update","OTHER"
"Useless without support for creating and editing custom post types.","OTHER"
"I can't understand why is this so hard?","PROBLEM DISCOVERY"
"Cannot edit my posts.","PROBLEM DISCOVERY"
"It's slow.","OTHER"
"What the heck happened?","OTHER"
"Please make an option on changing our url.","FEATURE REQUEST"
"Thanks","OTHER"
"I like the old design better.","OTHER"
"Love the new material design.","OTHER"
"It's good but doesn't give a room for unfollowing your unfollowers.","OTHER"
"Like","OTHER"
"Wonderful app","OTHER"
"Its looks like google products.","OTHER"
"thanks developers","OTHER"
"Needs better text formatting","OTHER"
"It was fine before, but the update doesn't allow me to do anything but create new posts?","OTHER"
"Desktop only from now on.","OTHER"
"Inconvenient","OTHER"
"After the most recent update the app is basically useless.","OTHER"
"I loved it before but now the menu drawer on the side doesn't come out so I'm stuck with the view of my posts.","OTHER"
"Can't view stats, pages, etc.","PROBLEM DISCOVERY"
"Nice work on the new design","OTHER"
"intuitive.","OTHER"
"works very well.","OTHER"
"Love the new material design.","OTHER"
"Excellent app for what it does!","OTHER"
"The app looked great before, now it looks awesome.","OTHER"
"Has all the functionality I need when I am on the go.","OTHER"
"I used the desktop version and it works fine.","OTHER"
"I recently got a new phone (samsung s4) and decided to download the app.","OTHER"
"Won't even let me log in, says that it can't log me in.","PROBLEM DISCOVERY"
"The Web browser version works just fine.","OTHER"
"Very disappointed WordPress.","OTHER"
"I hope this problem is fixed soon.","OTHER"
"Pretty good, needs better settings rendering","FEATURE REQUEST"
"Amazing","OTHER"
"Ok","OTHER"
"THIS APP IS A NIGHTMARE.","OTHER"
"Navigating through it is the worst thing ever.","OTHER"
"its slower than internet explorer.","OTHER"
"It needs a complete makeover","FEATURE REQUEST"
"App won't stay in a folder since the update.","OTHER"
"wow","OTHER"
"The app normally longer connects to my account since about a week ago.","OTHER"
"Initially it couldn't upload articles and then when I signed out to see if that helped, I couldn't sign back in.","PROBLEM DISCOVERY"
"I hope this is fixed soon.","OTHER"
"Could you make it possible to set a featured image via the app please?","FEATURE REQUEST"
"Awesome","OTHER"
"This app is amazing.","OTHER"
"It is perfect for someone who needs to edit thi gs on the go.","FEATURE REQUEST"
"Fits perfectly on the device and is super easy to use.","OTHER"
"I never thought WordPress would become this good.","OTHER"
":)","OTHER"
"Hello, next update i hope you can add featured image options, So i can update my post everywhere without my laptop.","FEATURE REQUEST"
"I can access my blog but can't upload any post due to the above mentioned error.sorry.","PROBLEM DISCOVERY"
"Its not as good as I thought.","OTHER"
"Like","OTHER"
"Speed of app is not good.","OTHER"
"I use mobile browser for speed","OTHER"
"I am totally unable to log in.i reset my password but it wont accept new one.hopeless.this happened months ago also.not happy.wanna blog","PROBLEM DISCOVERY"
"Whatever you did in the update it screwed up a wonderful app.","OTHER"
"I can't even get it to open now!","PROBLEM DISCOVERY"
"I'm unable to connect on my both devices.","PROBLEM DISCOVERY"
"I have to use VPN to make it work.","OTHER"
"But I can access WordPress blog on browser without any problem.","OTHER"
"Tank","OTHER"
"Keep my dream of writing alive","OTHER"
"Sucks!!","OTHER"
"Very nice!))","OTHER"
"Loved It","OTHER"
"You will surely love it if you download it in your laptop.","OTHER"
"You can create websites in WordPress.","FEATURE REQUEST"
"Well see what happens to the data.","OTHER"
"Haram.or","OTHER"
"Will you fix the bug with self hosted sites?","INFORMATION GIVING"
"We can't login since Christmas or sth like that.","PROBLEM DISCOVERY"
"This app works great.","OTHER"
"Haven't had any issues with it.","OTHER"
"It will upload small posts with no pictures in them, but as soon as I attempt to upload a longer post with photos it starts a never ending upload which never actually finishes.","OTHER"
"Then when you go back into the app to see what is going on it deletes the post you were trying to upload and you are left with only the title and the knowledge that you have entirely wasted your time and need to write the whole thing and locate all the media files again.","FEATURE REQUEST"
"Totally frustrating.","OTHER"
"It worked fine on iOS.","OTHER"
"Very good","OTHER"
"As others have said, the functionality on this is less than you'd get in the Wordpress web page.","OTHER"
"Nevertheless, it has all the main features and I use it all the time for posting blog entries when I'm not at my computer.","OTHER"
"I find it quick and easy to use, much quicker than trying to log into Wordpress via mobile browser.","OTHER"
"It may not be for you if you want detailed control over the look of the blog entries, or if you use a lot of media.","OTHER"
"Overall, flawed but easy to use and better than the alternatives.","OTHER"
"Very Handy","OTHER"
"It is a very fine .com","OTHER"
"I am new to blogs it's easy to use and fun","OTHER"
"Nice","OTHER"
"Love it!","OTHER"
"Check out my new blog!","OTHER"
"Halei97","OTHER"
"The app gives a breath of fresh air to those who seek an avenue to inhale and exhale.","OTHER"
"Keep it up.","OTHER"
"This app is worthless.","OTHER"
"It's slow, and the UX and UI are horribly restricted.","OTHER"
"On top of that, if you do anything without an internet connection it will save a local copy, but if you AT ANY POINT, access your work and press ""save"" before it's loaded the existing draft, it will erase EVERYTHING.","OTHER"
"Considering how much time I've spent writing posts that just disappeared, I'd say this is one of the worst apps I've EVER USED.","OTHER"
"good","OTHER"
"I like it.","OTHER"
"I havent encoutered any malfunction regarding to this app.","OTHER"
"Just now.","OTHER"
"But let see what will happen soon.","OTHER"
"Im giving this app 5 points.","OTHER"
":-)","OTHER"
"The editor is ok to post new posts, but editing new posts is a horrible experience.","INFORMATION GIVING"
"Really good","OTHER"
"I loved it","OTHER"
"I love wordpress.visit me my username is hanna53 thanks :-*","OTHER"
"fix errors","PROBLEM DISCOVERY"
"We use WordPress for numerous products.","OTHER"
"The app makes it admirably efficient and cost effective when your wordpress driven applications rely on fluid updates from your organization and it's clients.","OTHER"
"Nice work!","OTHER"
"#vibol&aryremix?","OTHER"
"with table","OTHER"
"Hmmm","OTHER"
"Always crashed while writimg new post.","OTHER"
"All my drafts are sucessfully wasted.","OTHER"
"Even half star needed to rate this current version","OTHER"
"I post multiple times a week and have never experienced any problems.","INFORMATION GIVING"
"I've had the blog since September and I exclusively use my phone to do it.","OTHER"
"I love the stats page to keep track of my most popular post topics","OTHER"
"It's great for me to ******* (can't tell, its a secret) every once in a while.","PROBLEM DISCOVERY"
"Better than keep going on the internet.","OTHER"
"Yes!","OTHER"
"I like this app but it its confusing and its slow and they're are so many bugs it took me 40 minutes to publish one post","OTHER"
"awesome","OTHER"
"You can get notifications about comments and check stats, but nothing else works.","OTHER"
"You can't approve/spam/reply to comments, which is something an app like this should have down in order to be useful on the fly.","PROBLEM DISCOVERY"
"Lacks support for custom modules","OTHER"
"This app automatically UNDERLINES ebery piece of my article!","OTHER"
"What's going on?","OTHER"
"Good app.","OTHER"
"But could do better.","OTHER"
"I would like to know why I cannot see my blog in the app as it looks on the web browser","PROBLEM DISCOVERY"
"So far it's doing what I ask of it.","OTHER"
"Doesnt wanna load properly, takes no images in.","OTHER"
"Totally shitty.","OTHER"
"Upgrade this app to a better version then i think everyone will like it.","OTHER"
"You can always go to the mobile site for basic things but the notifications and the ability to share items to it are what make this an essential app for me.","OTHER"
"If you have a WordPress blog and an android this is fantastic.","OTHER"
"10 years using!","OTHER"
"Good","OTHER"
"Perfect","OTHER"
"I cant reply any comment.","PROBLEM DISCOVERY"
"When i put space after a word the word vanishes.","OTHER"
"Please fix.","PROBLEM DISCOVERY"
"This app makes blogging eaeady","OTHER"
"m","OTHER"
"Taranslate me stuff is muy bueno","OTHER"
"WP works great on my computer and phone, but sucks on my tablet.","OTHER"
"The menu system jumps around, when I tap on one item another is selected.","OTHER"
"Sometimes two menus will pop out and then I cant get rid of one.","PROBLEM DISCOVERY"
"The mobile menu lacks the same look and feel of the desktop version.","FEATURE REQUEST"
"Hi i always cnt upload my pics onto my post page section.","OTHER"
"I cant upload pics aftr i typed some words and i always have to upload first before typing but somtimes even uploading first also fails.","PROBLEM DISCOVERY"
"Good app.","OTHER"
"better","OTHER"
"i am used","OTHER"
"Crashes when uploading blog post.","OTHER"
"Android","OTHER"
"Thank","OTHER"
"Uploading even one image causes my S5 to stumble and crawl, when not uploading images it works fine.","OTHER"
"I love it but I can't add a ""Featured Image"" to a post.","PROBLEM DISCOVERY"
"My blog uses that, so please add it to a new update.","FEATURE REQUEST"
"Nice","OTHER"
"When I schedule my post through the app for a future date, it still post live.","OTHER"
"In order to schedule a post I have to schedule it twice in order for it to work.","OTHER"
"Please help.","OTHER"
"I tried restating my phone and I'm having the same problem.","PROBLEM DISCOVERY"
"Thanks!","OTHER"
"Does not support wordpress self hosted sites.","OTHER"
"Fascinating lombok","OTHER"
"The app crashes every time we try to upload a post and forces my phone to restart.","PROBLEM DISCOVERY"
"I like it.","OTHER"
"ok","OTHER"
"It's hard to navigate and find content.","OTHER"
"Confusing and very hard to follow interface, textboxes freeze/crash the app, confirmation emails do not have auto login feature for quick authentications, too many overpriced premium themes that are not that impressive honestly, content uploader is non-responsive, and deleting a website is a nightmarish task when it shouldn't be.","OTHER"
"Please fix, very good concept, though, is very poorly executed.","PROBLEM DISCOVERY"
"(><)","OTHER"
"Thank you a lot","OTHER"
"It does exactly what I want it to do.","OTHER"
"Great app for quick updates or edits on your blog when you're away from a computer, but there are a few issues, at least on my samsung galaxy tab pro.","PROBLEM DISCOVERY"
"Editing pages or posts doesn't give you access to all features, and if you're reading other blogs, the comments section always says ""no comments yet"" even when you know there are comments.","OTHER"
"Good","OTHER"
"It makes wordpress easier and more mobile, and can be accessed from everywhere.","OTHER"
"Thanks for the app","OTHER"
"As always a pleasure to work with keep up the great work","OTHER"
"this is a really cool app","OTHER"
"Awesome, Cool, fantasy app.","OTHER"
"easy to use, Cool hosting,","OTHER"
"I don't see what's wrong with it no matter how much people give it bad rates.","OTHER"
"I like this app and it helps so much for a blogger like me.","OTHER"
"I love the fact that I can secure this app with a password so that I can blog anonymously.","OTHER"
"Why I can't sign in my account?","PROBLEM DISCOVERY"
"It keep saying I can't login, btw username and password is correct.","PROBLEM DISCOVERY"
"Such a useless app.","OTHER"
"Its open in browser not in app itself.","OTHER"
"Nice one","OTHER"
"Amooo muito isso feliz estou","OTHER"
"superb I love this app.","OTHER"
"my blog having a advertisements and alot people open blog and click on add but how i get money on clicks tell me","OTHER"
"Great app","OTHER"
"Keeps on logging me out,,!","OTHER"
"Apps closing.waste of time .","OTHER"
"UNINSTALLING, NOW.","OTHER"
"The app doesn't update any changes I make in the app says that ""the server isn't responding"".","INFORMATION GIVING"
"Please fix it.","PROBLEM DISCOVERY"
"Te recomiendo primero escribas a parte y despues copies y pegues","OTHER"
"Nice.","OTHER"
"Was a nice app,  but now i can upload any post,  please fix it","PROBLEM DISCOVERY"
"Post your views on your blog and tell the world what you think.","OTHER"
"You can help someone","OTHER"
"I use this app to make a quick post and draft a longer post, especially one with images.","OTHER"
"Most helpful feature for me is I can take a pic and press Share via Wordpress, and then save it as a draft.","OTHER"
"A suggestion: support for multi blog login.","OTHER"
"I manage two blogs and when I want to post to the other blogs I have to Sign Out and then Sign In again.","OTHER"
"Nice app","OTHER"
"Im happy with it.","OTHER"
"This app has come along way.","OTHER"
"If it provided a way to customize the blogs it would be amazing.","INFORMATION GIVING"
"Just saying.","OTHER"
"Really slow.when update the picture.","OTHER"
"Sometime, i cant upload my pic in post.","PROBLEM DISCOVERY"
"I work in my Lenovo K910.","OTHER"
"App is very slowly and i can't upload images, button doesn't work ?!?!","PROBLEM DISCOVERY"
"GREAT!!!","OTHER"
"It is cool","OTHER"
"The editor crashes 2/3 times and the posts either take forever to upload or just fail.","PROBLEM DISCOVERY"
"I prefer using WP on my laptop or via my tablet's browser.","OTHER"
"=|","OTHER"
"Good","OTHER"
"Great app!","OTHER"
"Enjoy working on blogs, thank you","OTHER"
"Very bad","OTHER"
"Really good and giving better experience","OTHER"
"I will rate higher if someone will tell me how to post something on my blog in the app","INFORMATION SEEKING"
"Its good to write blogs you can make the writing bold and italic and underlined i havent tried anything else yet but the writing blog thing is really good I think you should add a thing that says if you've spelt a word wrong if thats possible :-)","FEATURE REQUEST"
"But its need to more develop about writing and plugin support","FEATURE REQUEST"
"A better interface should be added","FEATURE REQUEST"
"This app works great with my customized self hosted WordPress.","OTHER"
"Though it does lag in the editor range I think that's just a limit of mobile platforms.","OTHER"
"Excellent, needs to improve writing a bit tho","FEATURE REQUEST"
"Must have!","OTHER"
"This app is not helpful, and options are limited.","OTHER"
"I strongly recommended that bloggers write and edit their post through the website instead using PC.","OTHER"
"Ok","OTHER"
"Not reliable at all.","OTHER"
"Pending post.","OTHER"
"missing post.","FEATURE REQUEST"
"aaaaarghh","OTHER"
"Awesome","OTHER"
"No issues.","OTHER"
"Fix your server if you have problems.","PROBLEM DISCOVERY"
"Probably not the apps fault.","OTHER"
"Short edits are fine too :-)","OTHER"
"No widgets.","OTHER"
"Thats sad.","OTHER"
"As an example Tumblr has great widgets.","OTHER"
"WordPress could take inspiration from them","OTHER"
"Bad app dont waste your time","OTHER"
"WordPress is good.","OTHER"
"Can't wait to see you","PROBLEM DISCOVERY"
"AMAZING^^","OTHER"
"Nice","OTHER"
"I love this app one tiny problem since the update now when I receive a like on one of my posts the notifications  keep showing the name of the first person who liked instead of the new one.","OTHER"
"So 4 and 3/4 stars :)","OTHER"
"Salam","OTHER"
"Not bad","OTHER"
"Love it works perfect you CAN so write ppl who say u can't write u r lying it works fine but if you wanna check out my real stories check me out I am fourthgradedrama","PROBLEM DISCOVERY"
"This is a lightweight solution to many problems.","INFORMATION GIVING"
"This app is my bread and butter and probably my go-to application.","OTHER"
"The app keeps getting better but I can't have two blogs active at the same time.","PROBLEM DISCOVERY"
"Why?!","OTHER"
"It's annoying so please fix it.","PROBLEM DISCOVERY"
"=(","OTHER"
"Not so good","OTHER"
"Goods","OTHER"
"Its absolutely easy and straifht to the point.","OTHER"
"Always Error when Add Category (""Category Refresh Error"") Please Fix And I'll give 5 Stars","PROBLEM DISCOVERY"
"I've been using this for a while on my Droid 4 so that I can blog during throw-away time.","OTHER"
"Just now I was polishing a post when my phone crashed and I thought I'd lost all my changes.","PROBLEM DISCOVERY"
"But then when I pulled the app back up the post was labeled ""Local Changes""!","OTHER"
"Cool!","OTHER"
"All my changes were there!","OTHER"
"Very happy.","OTHER"
"I love it.","OTHER"
"Even though it is bad at editing.","OTHER"
"It is great at reading other's blog, reading you blog's comments,  and at commenting.","OTHER"
"The only thing that need to be fixed is the editing thing.","PROBLEM DISCOVERY"
"Please work on make it better","OTHER"
"Helpfull, but when upload picture always show error notification.","OTHER"
"There're some problem with writing","PROBLEM DISCOVERY"
"I've been using this app for a few months for everything other than actual posting.","OTHER"
"There must have been an update, because now I can't access other blogs from people that have been in contact with me.","FEATURE REQUEST"
"Please fix this!","PROBLEM DISCOVERY"
"Major problem.","OTHER"
"""An errror ocurred on uploading the post  null"" getting this error.","PROBLEM DISCOVERY"
"Unable to upload posts.","OTHER"
"The website is bad enough on my smart phone.","OTHER"
"The app is worse","OTHER"
"Doesn't let me log into self-hosted WordPress installation.","OTHER"
"Natiural life","OTHER"
"cant log in","PROBLEM DISCOVERY"
"Very simple","OTHER"
"Heard a lot so downloading.","OTHER"
"let's see.","OTHER"
"Only suitable  for reading.","OTHER"
"I can't sing in","PROBLEM DISCOVERY"
"Very cool but galary not link or no hover effacts support","OTHER"
"Its a decent app.","OTHER"
"But when I try to upload an avatar it says""upload from hard drive"" when I click it, nothing happens.","PROBLEM DISCOVERY"
"I am looking for more enhancements, editors, graphics support, easier Reader scroll.","OTHER"
"This is very handy even if I'm busy I never missed my co bloggers post thanks for this beautiful apps.","OTHER"
"I can't log into my self hosted website!!","PROBLEM DISCOVERY"
"Please solve!","OTHER"
"App is good for reading writing while trying to access more features it stopped working","OTHER"
"Menu  Alliance In Motion Global, Inc.","OTHER"
"Alliance Iligan Business Center Office THE MARKETING PLAN THE MARKETING PLAN: EXPLAINED     I. GLOBAL BUSINESS REGISTRATION PACKAGE  To become a registered member or legal distributor of AIM Global, Inc., you just avail the Global Package worth P 7,980.00.","INFORMATION GIVING"
"The Global Business Registration Package provides you a wide range of benefits as follows:  1.","INFORMATION GIVING"
"1 Global Package with products worth between P 6,000  P 6,825.00 (Combo Packages of your choice).","OTHER"
"The return on products","OTHER"
"Iam blogger","OTHER"
"Thanks for such a wonderful app","OTHER"
"hummm.why i cant download this.ohh.","PROBLEM DISCOVERY"
"I've been using WordPress as a blog for my YouTube channel, Megaman Master, and it's so great that I now can use it while not on my computer.","INFORMATION GIVING"
"Thanks a lot","OTHER"
"Ignore my last review works fine, Internet's slow so struggles to send","OTHER"
"Konichiwa!","OTHER"
"I really don't understand why there is so much bad reviews.","OTHER"
"It was fine to me.","OTHER"
"Besides, I'm pretty sure most of the people only blog and don't make apps.","OTHER"
"I tried it and it was fine.","OTHER"
"It might not be high class, but it works.","OTHER"
"I recommend this to all the new bloggers.","OTHER"
"You might find it good for your blogging!","OTHER"
"Happy blogging, minna!","OTHER"
"Misch better app and space than blogspot blogger.","OTHER"
"Works well for me and more professional layout","OTHER"
"You cannot easily manage multiple sites now.","PROBLEM DISCOVERY"
"Please being this back and I will re -rate.","OTHER"
"Good","OTHER"
"Learning how to blog.easy to follow so far","OTHER"
"This has happened multiple times.","OTHER"
"Finish a post,  hit publish,  it gets to a certain point then gets stuck.","OTHER"
"If I reopen the post,  it's completely blank.","OTHER"
"Sometimes it'll show up a day later.","OTHER"
"Sometimes I have to completely rewrite the post,  then attempt to publish it again.","OTHER"
"Goodluck Jonathan is the only Qualified candidate to lead Nigeria 2015, those who are happy Goodluck Jonathan will be president 2015 smile.","OTHER"
"Those who are not happy should go and hang Goodluck Jonathan 2015.","OTHER"
"The newest update has made it so that my keyboard will not predict words or find mistakes while making comments or replying in notifications.","PROBLEM DISCOVERY"
"How can i delete my account?!","INFORMATION SEEKING"
"Nice","OTHER"
"I like it","OTHER"
"Written posts constantly get lost!","OTHER"
"Nothing will refresh, pages, posts you name it.","OTHER"
"Great app, crappy service","OTHER"
"Lucke f mee","OTHER"
"amaze app","OTHER"
"Nice!!","OTHER"
"I am not able to upload a new image for my profile as i click on the -""choose file"" button there isnt any link that could open.","PROBLEM DISCOVERY"
"Pleae help.","OTHER"
"Its been a long time for this requst kindly see through it.","OTHER"
"I actually think the app is great for posting articles out on the road.","OTHER"
"After all you can't expect a desktop interface on a mobile phone!","PROBLEM DISCOVERY"
"Wordpress is awesome","OTHER"
"Lol","OTHER"
"This is amaging apps","OTHER"
"But this did not work well with editing my site.","PROBLEM DISCOVERY"
"Great idea, just wish it worked.","FEATURE REQUEST"
"Great platform for budding writers .though it needs more work.","FEATURE REQUEST"
"I really like the whole interface!","OTHER"
"Lacks Nothing.","FEATURE REQUEST"
"It's awesome!","OTHER"
"Great work ya'll developers!","OTHER"
"Posting/Editing not so great","OTHER"
"Can't crop images.unbelievably frustrating!","PROBLEM DISCOVERY"
"It's also a little unresponsive to commands, live preview doesn't work, can't see all the themes, etc.","PROBLEM DISCOVERY"
"Keren","OTHER"
"I hate writing with this app.","OTHER"
"The upload almost always fails.","PROBLEM DISCOVERY"
"Use this only when you are desperate.","OTHER"
"Good for reading but uploading is just a pain.","OTHER"
"New update has a problem with notification.","PROBLEM DISCOVERY"
"Can't refresh even received new notification.","PROBLEM DISCOVERY"
"Nyc experiance","OTHER"
"The app won't log me in with the correct details.","OTHER"
"Easy to use.","OTHER"
"Love this app","OTHER"
"Wow!","OTHER"
"Helpfull","OTHER"
"It is so great that you can blog on the go with this app","INFORMATION GIVING"
"This awesome money making system is so powerful you can make serious commission off of your own mobile phone and I have and I got it but the only way you can use something so powerful you have to have WordPress thank SMSmobilemaster","INFORMATION GIVING"
"Great app","OTHER"
"Finally no need to use the web on my device and have my blog erased this app corrects that issue I had.","OTHER"
"Thanks development team!!","OTHER"
"Keren","OTHER"
"Won't even let me log in as it keeps saying ""try later"", therefore defeats the purpose of even having installed this.","PROBLEM DISCOVERY"
"I like it","OTHER"
"Can't log in to self hosted site.","PROBLEM DISCOVERY"
"Lumayan","OTHER"
"Loved it for SEO.","OTHER"
"Useful app","OTHER"
"Lots of features are missing.","FEATURE REQUEST"
"Please add them.","FEATURE REQUEST"
"!!","OTHER"
"I spent two days trying to change my profile picture.The overall layout is horrible.we are people intuative creatures.and this my friends does not fuel intuitiveness.","OTHER"
"Very disappointed","OTHER"
"Aside from minor changes like the ability to choose from existing tags, WordPress is simply the best mobile blogging app.","OTHER"
"It's robust, clean, fast and provides nearly all the functionality one can get on the web.","INFORMATION GIVING"
"The post editor needs work, but as a whole, this app is miles ahead of its competitors.","FEATURE REQUEST"
"Hate the app completely , being a blogger I can recommend this app only to those who want to view other blogs.Not good for editing n writing stuff, shows lot of lag","OTHER"
"Almost always uploading a new post freezes.","PROBLEM DISCOVERY"
"Sometimes it just means I have to restart and hope this time it works, sometimes it means the entire post gets lost and I have to re-type from scratch (which is quite annoying, to say the least, on a phone).","PROBLEM DISCOVERY"
"Better host your blog with a provider whose software actually works, instead of destroying your data.","OTHER"
"Awesome app.","OTHER"
"Good","OTHER"
"Long Live Wordpress","OTHER"
"Good","OTHER"
"I love it.","OTHER"
"Easy to use and to manage.","OTHER"
"I am better in touch with my blog","OTHER"
"I was able to post immediately with simple text updates immediately.","OTHER"
"Fine so far; one star.","OTHER"
"I was able to edit a post immediately, and add a photo.","FEATURE REQUEST"
"That's good, too; two stars.","OTHER"
"My edits DO NOT SHOW.","OTHER"
"Not so good.","OTHER"
"Minus one star.","OTHER"
"Video cannot be added from my phone; minus another star.","FEATURE REQUEST"
"The message that tells me that leads to a non-mobile-optimized website for a videohosting/upload site; minus another star.","OTHER"
"I would have paid for an app that would allow this, but not an ongoing fee of US$60, thanks.","OTHER"
"Not going to ding you for trying to make a living; I don't blame you in the slightest.","OTHER"
"Just try not to make your sales pitch so obnoxious.","OTHER"
"Won't publish posts.","OTHER"
"Failed 5 times then lost the content of the post.","OTHER"
"Needs to improve much.","FEATURE REQUEST"
"Its nise","OTHER"
"very apt.but can be made better","OTHER"
"Its a very useful app for  us like bussinessman to make presentations in our office life.","OTHER"
"Its great.","OTHER"
"Good app","OTHER"
"It's good.","OTHER"
"But sometime load media error to duplicate image","OTHER"
"Sub categories for category not showing when you edit the post.","OTHER"
"Still this bug is not resolved.","OTHER"
"I have so many sub categories under many categories.","OTHER"
"Is it deliberate to just have reading functions only?","OTHER"
"What happened to rich text formatting, picture uploads, feature image settings and easy post uploads?","INFORMATION SEEKING"
"I doubt this app would be on the Apple iTunes store with this rubbish.","OTHER"
"Fix up please","PROBLEM DISCOVERY"
"Nice","OTHER"
"Lags a lot and missing lots of options.","FEATURE REQUEST"
"Would be just what I need if there was any way of accessing the dashboard.","INFORMATION GIVING"
"Revised for newer version: practically useless to me now, gives no control over blog itself only very basic posting capabilities, very sad as a couple of years ago this used to have full dashboard access so plugins and themes could be upgraded or installed/uninstalled etc.","FEATURE REQUEST"
"please fix this.","PROBLEM DISCOVERY"
"Can't upload images on post.","PROBLEM DISCOVERY"
"Unable to upload media is always the response","OTHER"
"No words but just special","OTHER"
"This app is great for reading blogs that I follow, but I will do just about anything to avoid writing or editing posts in the app.","OTHER"
"It's faster to write in another app, take pictures in a second, and wait until I can get to a computer to put it all together.","OTHER"
"It WAS an excellent app for the functionality it offered.","OTHER"
"Allowed me to update my hosted blog away from home.","INFORMATION GIVING"
"I loved the new dashboard feature.","OTHER"
"It was quite flawless, now it's broken.","OTHER"
"Please fix","PROBLEM DISCOVERY"
"Another update that fails to address the ptoblem of not being able to access my self-hosted site so pretty much useless.","PROBLEM DISCOVERY"
"Please sort this out as a matter of urgency!!","OTHER"
"Junk","OTHER"
"Working well for using Reader to catch up on the blogs that I follow.","OTHER"
"Editing a post was frustrating as I couldn't undo what I accidentally deleted.","PROBLEM DISCOVERY"
"For comments, I couldn't move freely from the post to and from the comment that I was writing, nor could I copy and paste quotes from the post or other comments.","PROBLEM DISCOVERY"
"I was glad to discover that I must redesign my blog header to be compatible with smart phones.","OTHER"
"In this there is no option to publish you're article I have tried everything !!!","OTHER"
"What's the use of having a blog app if you can't publish you're blogs","PROBLEM DISCOVERY"
