component,bagofwords
org.coolreader.crengine.ReaderView,public Surface View return surface Engine Cool Reader Activity boolean Book Loaded Opened Orientation angle Settings PROP SCREEN ORIENTATION From Sensor Zone zone else Action find Type action NONE Secondary secondary ACTION TYPE SHORT Long double Selection Enabled LONGPRESS START SELECTION File Info null void start Stats stat Start Time android System Clock uptime Millis stats started reading stop Elapsed stopped long Pause Tracking current Auto Scroll Animation prepare Current Position Bookmark save calling book Resume last private update final Update next execute Task Override work throws Exception Empty invalid Images true Bitmap Page draw done String text length Complete clear static Multi Character Whitespace char false show Dialog COMMENT Text Percent percent Title chapter Edit this send Quotation Email Builder authors append title Fragment copy Clipboard Manager Clipboardmanager clipboard Toast copied toggle Mode selection Active string mode Background Thread ensure view post Item Properties Props page Number Table Contents found Search initial substring pattern reverse case Insensitive Find Next fail Pattern Shown highlight Bookmarks count Count list Highlight hilight shortcut Shortcut remove bookmark removed delete schedule Save SAVE POSITION INTERVAL toast position replace value Menu item None Runnable Finish Handler Command DCMD param Night settings Options Bool NIGHT MODE name Property invalidate apply Screen orientation Fullscreen Value FULLSCREEN Reading Popup Utils format Battery State prop full Height Child Chapter Name Titlebar equals STATUS LINE Document Styles disable Internal Flag DONT DOCUMENT STYLES FLAG INTERNAL REQUEST RENDER Embedded Fonts enable FONTS Autoformat Reflow REFLOW FILES Format HTML With EPUB reload Array List items section system version Version battery file fname pathname Parent size arcname arcpath arcsize series language notify Autoscroll Device EINK AUTOSCROLL SPEED NOTIFICATION ENABLED auto Notification instance navigate History native LINK BACK Previous Frame Home Root Window Browser Created command switch BROWSER ROOT break ABOUT About SWITCH PROFILE Switch Profile TOGGLE INCREASE change Speed DECREASE SHOW DICTIONARY Dictionary OPEN PREVIOUS BOOK INFO USER MANUAL Manual PLAY initializing Listener created opening toolbar Toolbar Close Cannot initilize HOME TITLEBAR POPUP TOUCH LOCK Touch touch enabled disabled FORWARD ZOOM sync NEXT Face MOVE CHAPTER PAGEDOWN animate Flip PAGEUP BEGIN RECENT BOOKS LIST Recent Books SEARCH EXIT finish BOOKMARKS PERCENT DIALOG CURRENT DIRECTORY OPTIONS READER MENU default pause Move LINEUP LINEDOWN FIRST Status props Base Path External Shell Object changed Delayed java util internal diff Entry entry Integer catch Generate help necessary opened successfully Error while manual ZONE HILIGHT hilite DOUBLE GESTURE FLIPPING gesture Flipping SECONDARY FLICK BACKLIGHT CONTROL Backlight Control Flick HIGHLIGHT VIEW parse ANIMATION SLIDE CONTROLS VOLUME KEYS Volume Keys MULTI BATTERY TIME PAGES COVERPAGES SIZE PROPERTY SCAN HIDE EMPTY FOLDERS SIMPLE COLOR CORRECTION HYPHENATION Hyph dict Code Hyphenation Language Change close error trying already document Services Callack posting task background thread synced When previous called filename specified normalized Corrector Trying from standard hide Progress Filename generate history looking location directory Scanner inside Directory browser state resize Resize skipping duplicate request requested Width Cache Since Last delay scheduling delayed executing without Changed Holder holder width height hack Memory Size runtime track Free Destroyed Alloc speed Hilite Rect highlite txcolor Color BLACK FFFFFF HILITE ALPHA bitmap Bounds Callback Draw Canvas canvas Initialized drawing image Dimmed Paint left right bottom Unhilite unhilite animation Scheduler accelerate intervals acceleration Shape part Drawable Dimming Alpha alpha dimming mylast saving immediately Access total pages SONY Sony shell Pages exists Absolute Canonical getting content sony drbd ebook provider continuerea Values contentvalues Resolver insert crsony inserting database Positon callback Render Stamp LAST Saved flush Sync Callable eink Refresh cancel Swap Viewer closing CLOSE recycle factory compact destroy Texture TEXTURE Sheet Stylesheet delta Fail profile Apply Initiating garbage collection Input prompt handler goto input number Cancel Event event Down Motion tracked completed Repeat repeat User translate KEYCODE POWER ENDCALL release Tracked override Press Timestamp KEYPRESS Double Click Single single click CLICK check Expiration Focus redraw activity engine Creating reader Focusable Posting 
org.coolreader.crengine.OPDSCatalogEditDialog,public OPDS Catalog Edit Dialog Cool Reader activity File Info item Runnable Update super String null string catalog title edit true false Activity Item Inflater Layout from Context View view inflate layout dialog name Text find username password filename Third Button Image drawable button remove delete Override protected void Positive Click boolean blacklist check Black List Const BLACK LIST MODE FORCE show Toast enforced else WARN Confirmation warning save Negative 
org.coolreader.crengine.BaseListView,public Base List View Context context boolean fast Scroll Enabled super Focusable true Touch Mode Fast Override Down Code Event event Scan Reader SONY DPAD RIGHT SCANCODE DOWN KEYCODE else LEFT NOOK NEXT SHIFT PREV first First Visible Position last Last count Count delta Child null Height Rect Width height next Math Selection clear return 
org.coolreader.crengine.BookmarkEditDialog,public Bookmark Edit Dialog Cool Reader activity View reader bookmark boolean super true false Original Third Button Image drawable button remove string delete Comment Type TYPE COMMENT Title String create edit Inflater Layout from Context view inflate layout dialog null final Radio find comment Correction correction Text Label position postext Percent Checked Change Listener Override void Changed Compound CORRECTION length else Clickable protected Confirmation title confirm Runnable Negative 
org.coolreader.crengine.BookmarksDlg,public Bookmarks Cool Reader activity View reader super Resources String string title bookmarks true false This this Inflater Layout from Context Info Positive Button Image drawable button frame inflate layout list dialog null Group body find List Fling Handlers Override boolean Item Selected Menu item shortcut selected Shortcut Mode SHORTCUT COUNT switch case Updated dismiss return delete remove goto edit Type TYPE COMMENT CORRECTION Edit Dialog show export Count File Path Name replace SEPARATOR Toast toast else failed send Export Text Fragment void Create menu inflater clear context Adapter position Header Title size Enabled Click Listener Down Code Event event KEYCODE MENU open 
org.coolreader.crengine.OPDSConst,
org.coolreader.crengine.Services,public static Engine return Scanner History Coverpage Manager File System Folders void start Services Base Activity activity First created Background Thread instance Handler Instance String code settings Property Reader View PROP HYPHENATION DICT Hyph Dict RUSSIAN dict Code Hyphenation Dictionary init Roots Mounted Enabled Bool BOOK PROPERTY SCAN ENABLED true stop Last destroyed null Will services finish only creation detected clear post Runnable Override Stopping background thread uninit quit 
org.coolreader.crengine.OptionsDialog,public static find Backlight Setting Index value best Diff Levels length diff return Base Activity Properties Layout Inflater void save Color boolean night Property PROP PAGE BACKGROUND IMAGE NIGHT NONE COLOR FONT FFFFFF STATUS SCREEN BACKLIGHT GAMMA THEME BLACK HIGHLIGHT BOOKMARKS SELECTION CCCCCC COMMENT CORRECTION else WHITE String code style Codes Name styles color null restore pname toggle Night Mode Bool MODE false Options Dialog activity Reader View reader font Faces mode super Font settings READER OPTION PREFORMATTED Text Autoformat Enabled EMBEDDED STYLES Document Styles FONTS Fonts Format Epub With Embedded show Icons SETTINGS SHOW ICONS true this create Content equals Application Controls Page Override protected Create Bundle saved Instance State creating Cool dump Heap Allocation calling System options dialog Cancelable Canceled Touch Outside setup BROWSER Browser Listener Interface Positive Button Click Image positive view back created Down Event event Tabs Current 
org.coolreader.crengine.TTSToolbarDlg,static public Toolbar show Dialog Cool Reader cool View reader popup Window Width Height return void Close Listener Runnable handler stop closed Speaking false true Background Thread instance execute Override restore Mode clear Selection null Showing dismiss save private move Command Move Callback selection text current Fail fail pause toggle Start Stop Utterance Completed String utterance DCMD SELECT NEXT SENTENCE Anchor Surface this panel Layout Inflater from Application Context inflate layout toolbar play Pause Button Image find Resource drawable media measure Group Params FILL PARENT WRAP CONTENT Popup Drawable Bitmap Panel Click PREV forward Focusable Enabled boolean Code Event event Action ACTION switch case KEYCODE VOLUME DOWN BACK else Volume Progress Dismiss Manager Touchable Outside Content location Location Screen Gravity CENTER HORIZONTAL Speed Seek speed volume Change Changed seek progress User float rate Speech Rate Tracking request 
org.coolreader.crengine.BookSearchDialog,public Book Search Dialog Cool Reader activity Callback callback super String string book search true false this Title Inflater Layout from Context View view inflate layout dialog null author Edit Text find title series filename status Watcher watcher Override void after Changed Editable before Char Sequence start count post Task Listener private closing return final Background Thread instance Runnable Active done File Info results found length protected trim Patterns RESULTS CRDB Service Books Found Array size 
org.coolreader.crengine.ToastView,Override public void window null dismiss show static Toast View anchor String duration text Size Reader font queue catch Interrupted Exception print Stack Trace showing compare false true 
org.coolreader.crengine.TolinoEpdController,public static boolean partial Refresh View view mode waveform Rect Global Visible return left right bottom Screen Helper Regional false void Mode switch case Eink cmode Clear Full break Oneshot NATIVE UPDATE MODE FULL WAVEFORM Active 
org.coolreader.crengine.EinkScreen,public static void Refresh Number Prepare Controller View view boolean Partially Device Info EINK NOOK TOLINO Sleep return switch Update Mode case cmode Clear break Active Interval Oneshot else Reset System println default Soft reset 
org.coolreader.crengine.Settings,public Locale return code static String length substring null Code locale country Country Language lang values equals language found DEFAULT 
org.coolreader.crengine.CoverpageManager,Cancel queued tasks specified files public void unqueue Collection Image Item Unqueue synchronized LOCK Check File Cache Queue remove Scan Ready listener cover page load completion Coverpage Listener this listeners boolean Size width height Width Height return false true Font Face String face clear font equals Data final CRDB Service Local Binder Info byte data item Collections singleton save Book coverpage Loaded Manager Constructor param activity Cool Reader main Returns drawable book Internally will background Drawable which used pixel destination image size private notify Bitmap empty first Timestamp Utils time Stamp Runnable Override Array next null break ready coverpages Coverpages last Notify Task Background Thread instance post COVERPAGE UPDATE DELAY loaded State IMAGE DRAW SCHEDULED schedule request Loading Callback found scheduling scan else format Parse Services Engine Path Name need Page Caching buffer callback Title authors series Number Device EINK SCREEN static invalidate Child Images View view instanceof Group Count matches invalidating 
org.coolreader.crengine.CRRootView,public Root View Cool Reader activity super this Activity Layout Params FILL PARENT Coverpage Manager Services screen Height Window Default Display Width cover Focusable true Touch Mode create Views Override boolean Down Code Event event KEYCODE MENU Repeat Count menu Utils time Stamp return BACK back long duration Interval show Browser Options Dialog else Menu Book Opened finish void Theme Change Interface theme last Close remove Ready Listener coverpage null Detached From private update Recent Books Array Info books File files RECENT BOOKS size Scanner Inflater inflater from Scroll final item view layout root recent Image find Text label name Minimum Resource drawable button next More Click Item Drawable String title authors format Authors Name empty load Document Long edit invalidate refresh Background Thread instance post Runnable History Load CRDB Loading Callback Loaded Current Online Catalogs wait OPDS catalogs System Folders folders Filesystems lang Language Enable Litres Lower Case starts With Device POCKETBOOK enable settings Bool Settings PROP PLUGIN ENABLED Store Plugin LITRES Library opds Items online icon browser plugins logo litres filename Wrapper ONLINE CATALOG PREFIX PACKAGE NAME Login dirs continue Type TYPE DOWNLOAD bookmark ROOT media flash blue pathname Directory register Context false Create context favorite Favorite service enabled left Move right Enabled library image Search Shortcut Title Series window Group Delimiter delimiter Linear scroll filesystem Last Button current object only Properties Motion Action Changed Coverpages Child Images actions ABOUT CURRENT USER MANUAL OPTIONS EXIT Actions Popup Handler Selected About Manual 
org.coolreader.crengine.PositionProperties,public Position Properties full Height page Width Number Count Mode char image Percent return Override Object clone throws Clone Supported Exception super boolean Move Next Page String hash Code final prime result equals this true null false Class other 
org.coolreader.crengine.BookInfoDialog,public Book Info Dialog Base Activity activity Collection String items super Cool Reader Title string book info fill Inflater Layout from Context View view inflate layout dialog null Table table find Item 
org.coolreader.crengine.L,public static String Thread Label return Background void Exception Logger create name Impl VERBOSE level 
org.coolreader.crengine.BookInfoEditDialog,public Book Info Edit Dialog Cool Reader activity File base book boolean Recent Books Item super null false this Parent Display Metrics Window Manager Default Size width Pixels height Activity Attributes soft Input Mode Layout Params SOFT INPUT STATE UNSPECIFIED Soft HIDDEN Override protected void Create Bundle saved Instance State Inflater from Context file View Group view inflate layout info edit dialog Image Button Back find back Click Listener Negative Open open Positive Delete delete dismiss Title Text title Series Name series name Number number Rating rating Radio state Reading Buttons toread reading finished check length final image cover Minimum Height Width Bitmap create Config Services Coverpage draw Ready bitmap Drawable drawable progress percent Bookmark Last Position Percent else Progress trim String value Linear Authors authors list Rate Remove recent Folder folder show Directory parent remove load Document Runnable 
org.coolreader.crengine.SelectionToolbarDlg,static public void show Dialog Cool Reader cool View reader final Selection selection Toolbar popup Window Width Height private change Bound boolean start delta Mode Command DCMD SELECT MOVE LEFT BOUND WORDS RIGHT move Move Callback Override text this Fail fail Anchor Surface panel Layout Inflater from Application Context inflate layout toolbar null measure Group Params WRAP CONTENT Popup Touch Interceptor Listener Motion Event event Action ACTION OUTSIDE close true return false Panel find copy Click Clipboard dict Dictionary Settings Bool PROP SELECTION PERSIST bookmark Bookmark email send Quotation Email Search trim cancel Control Seek left bound control right Focusable Code switch case KEYCODE BACK else DOWN Dismiss restore clear Background Drawable Bitmap Manager Touchable Outside Content location Location Screen Gravity CENTER HORIZONTAL maxy Thread instance post Runnable Engine SCROLL redraw 
org.coolreader.crengine.FileBrowser,public File Browser Cool Reader activity Engine engine Scanner scanner History history super this Activity Inflater Layout from Coverpage Manager Services coverpage Listener Ready Override void Coverpages Array Image Item files curr Directory null return boolean found false find Path Name true invalidate Adapter current Attached Window Params FILL PARENT create View show Close remove Detached From private recreate progress hide final Gesture Detector detector Touch Motion Event event catch Exception else notify Data Changed Cache Color Hint Views Visibility VISIBLE Progress Popup Theme Context Selected Menu item selected switch case book open menu OPDS load Document sort order Toast Sorry selection implemented recent books Recent Books opds root Root back reading Opened opened delete Delete goto catalog edit Catalog folder favorites Favorites refresh Info Catalogs CRDB Loading Callback Loaded catalogs clear Special path Equals Parent parent init Init Started called Selection Shown Last Search Result Results Find Dialog done results length string search Plugin Online Store Wrapper plugin Internal Error error Code String description Cannot server With Login Runnable pathname Count equals login password Password authenticate Authentication Message Success genres popular starts authors Items Sort Order SORT ORDER allow Sorting save Setting PROP BOOK Properties properties Property settings Value option Labels FILENAME resource DESC AUTHOR TITLE TIMESTAMP Values Options Owner Base Handler Background Thread instance execute update Usage Curr Download callback process Entries Collection Entry entries size continue directory been changed ignore downloaded items entry Util Link acquisition Best Acquisition PREFIX href filename Utils cleanup Html Tags content title format Format Mime Type type Authors Listed Scanned link application atom replace Finish message after subdir transcribe SUBDIR substring mkdirs Absolute returning Device EINK SONY Sony Selector selector list percent Downloading Extensions Task username Malformed Wrong object Props Only Invalidated ensure Package Shortcut Updating Groups Series series Rating rated State Finished state finished STATE FINISHED Reading READING Title Control Current Recursive started control Cancel Interface dialog stop handler Showing dismiss Simple Mode Page Size Sizes screen Width Height Font Face Pages Enabled byte data protected cannot while info User 
org.coolreader.crengine.DocView,public View Object mutex this Create native object void create synchronized Internal Destroy destroy document callback param reader Callback Reader uses cache file swap unsaved data return either SWAP DONE TIMEOUT ERROR Cache Follow link Link String Find near specified window coordinates delta check selection range update Selection Move move params boolean Send battery state Battery State current book coverpage bytes Cover Page Data texture background image Bytes tile Flags Background Texture Load from Name load Document settings java util Properties Settings Apply apply stylesheet Stylesheet request Render Command DCMD REQUEST RENDER Native Change size resize Execute command bookmark info Bookmark Current returning null rendered avoid long cannot determined fast Rendered Check whether formatted true retrieving will cause activity formatting reading position Path Position History properties Props Fill fields using metadata Info tree Item Clear clear pattern origin reverse case Insensitive find bitmap buffer Image Bitmap Device EINK SCREEN point contains found becomes drawn dimension place dimensions belongs otherwise Draws currently opened destination scaling parameters successfully Close free resources there closed Highlight bookmarks Remove highlight array hilight Bookmarks 
org.coolreader.crengine.MountPathCorrector,public Mount Path Corrector File mounted Roots this root Links From boolean Point String path Absolute equals return true false testing only hardcoded param from link name destination void Adding Info normalize Possible null Normalize given replacing symlinks known roots normalized which starts match found Collection Name good Base correct Check whether contains circular recursive avoid infinite search directory Recursive visited Hash while Parent Override Arrays 
org.coolreader.crengine.BaseListAdapter,public void register Data Observer observer observers unregister remove notify Changed Invalidated Override boolean Empty return Count Items Enabled true position long View Type Stable 
org.coolreader.crengine.CRToolBar,public void Button Alpha alpha this button Shown request Layout invalidate Vertical boolean vertical Params WRAP CONTENT FILL PARENT else return Tool Base Activity context super activity preferred Item Height Preferred Array List Reader Action actions multiline show Labels Multiline inflater Inflater from window Divider Window Attributes Smartphone BUTTON SPACING calc Width Spacing Handler handler Overflow Menu items size null Actions visible Count Popup Content View Settings VIEWER TOOLBAR Have Icon popup dismiss Location BOTTOM private Image Rect rect final left bottom right Empty Context Resource icon Utils Description String name Drawable Resources drawable more string toolbar Background background layout overflow Click Listener Override night Mode protected changed remove Views clear last Index Line buttons separator Current Theme Browser Status Padding Left Right Bottom spacing Lines current start Buttons width Linear measure Measure Spec make EXACTLY height count Ellipsis false continue true anchor static Scroll scroll Group Measured Fading Edge Enabled Length long activate With Long found Touch Interceptor Motion Event event ACTION OUTSIDE Selected Focusable view Code DOWN KEYCODE MENU BACK Down Time Manager maxh Touchable Outside Interface theme Toolbar solid Color location Screen Gravity HORIZONTAL update Night Changed 
org.coolreader.crengine.HelpFileGenerator,public Help File Generator Cool Reader context Engine engine Properties props String lang Code this settings version Version Calculate hash current values which affect help file content generation return Settings Hash MANUAL VERSION Used Manual static Name manual generate template read Template null length filter byte data Bytes catch Unsupported Encoding Exception Output Stream write close 
org.coolreader.crengine.BaseDialog,public void Positive Button Image image description positive Content Description Negative negative Third third Base Dialog Activity activity this false String title boolean show windowed Fullscreen Night Mode fullscreen dark super Current Theme Owner need Cancel Window request Feature FEATURE TITLE Device Info EINK SCREEN Manager Layout Params alpha Amount format PIXEL FORMAT gravity Gravity CENTER HORIZONTAL VERTICAL horizontal Margin vertical Animations layout Parameters null Attributes Cancelable true Dismiss Listener Override Interface dialog Close Create View view create contents remove Views protected Buttons Pane Group parent find base back Resource Utils Context else Click buttons Title Touch Motion Event event Action ACTION DOWN Width return Char Sequence value Text gesture handlers fling param Handler pass call Fling Handlers Runnable final Gesture Detector detector Down Code User KEYCODE BACK 
org.coolreader.crengine.ProgressDialog,public Progress Dialog Context context super static show Char Sequence title message return false boolean indeterminate null cancelable Cancel Listener dialog Title Message Indeterminate Cancelable Override protected void Create Bundle saved Instance State Layout Inflater inflater from Style STYLE HORIZONTAL View Update Handler handle view layout alert progress find else Text Secondary Increment increment Drawable Changed Start Started true value secondary diff style 
org.coolreader.crengine.ReaderCallback,
org.coolreader.db.FileInfoCache,public File Info Cache Size this remove entry index find Path Name return null removed list current void check String path item Long clear 
org.coolreader.db.CRDBService,Override public void Create Thread Service crdb start exec Task Open Database Start Command Intent intent flags Received return START STICKY Destroy Close stop save OPDS Catalog final Long String name username password work main update Last Usage load Catalogs Loading Callback callback Handler handler Array List File Info list send Runnable Loaded remove Book Coverpage file byte data null cover Path Name flush delete book Authors parent Item Groups Series Title find Books long author series Rating Rate State state Recent Count sync Patterns title filename Search Found Infos Collection path Names Bookmark Corrector Mount corrector Position create Favorite Folder folder Favorites Folders favorites Binder 
org.coolreader.db.MainDB,public void clear Caches series author folder file Info flush super Stmt null close Select remove OPDS Catalogs From Black List Const BLACK LIST MODE FORCE exec Ignore Errors DELETE FROM opds catalog WHERE http flibusta else String quote update Last Usage Long existing long Query SELECT return last usage UPDATE catch Exception exception while updating item boolean save name username password Opened false trim length Name equals INSERT INTO VALUES saving true load Array File list found Cursor ORDER DESC First Directory pathname PREFIX filename Listed Scanned Next loading catalogs finally Favorite Folders position favorite folders Number Type TYPE delete Lite Statement stmt compile bind execute create Favorites NULL Insert find Bookmark condition READ BOOKMARK read Bookmarks book bookmarks type private sort Items items Group Extractor extractor Collections Comparator Override compare Comparision Field Upper Case Authors parent begin Reading count INNER JOIN GROUP AUTHOR Grouped size Filename Series SERIES Title FILEINFO title Books continue prev TITLE number Rating Rate flags BETWEEN LIMIT state simple authors insert IGNORE cannot info closed Hash changed removed added Unique values vlog updated Infos collection Load recent books with param Count loaded Recent Path Patterns Builder Condition append Utils match Names Pathname from Position access time cached correct Paths checking data correction corrected Corrector normalize contains unknown paths Total rows need corrections required Changes Entry entry Value Finished Rows Mount corrector this Correction Required 
org.coolreader.db.CRDBServiceAccessor,public CRDB Service Local Binder null throw Runtime Exception service return Accessor Activity activity Mount Path Corrector path this void bind final Runnable bound Callback already binding Connect Callbacks Called true Intent class Connection Context BIND AUTO CREATE Bound else cannot unbind unbinding false Connected Component Name connected size callback clear Disconnected disconnected from 
org.coolreader.db.ServiceThread,public Service Thread String name super Post task execution param runnable call void post Runnable synchronized Queue Handler null Stopped started just adding queue Last else Queued Tasks front Front with delay Delayed long Millis boolean wait Completion timeout final Object lock Override notify return true catch Interrupted Exception Waiting interrupted false stop called supported Looper quit Running service thread prepare handle Message message handler created loop Exiting background 
org.coolreader.db.BaseDB,public File Name return boolean Opened null error true access while opened false opening check Schema Closing upgrade schema Absolute Path close Utils move Corrupted Backup restored From database flush clear Caches catch Lite Exception Error closing void exec Ignore Errors String sqls query failed ignoring ensure throw Long long Query Statement stmt compile simple finally string static quote replace Begin transaction started changes begin Changes Transaction vlog starting writable changed modify readonly faster reading Reading Rolls back writing ending Commits rolls frees resources Will commit been called Otherwise will Successful committing else rolling 
org.coolreader.db.DBRuntimeException,public Runtime Exception String super Throwable 
org.coolreader.db.ByteArrayCache,public Byte Array Cache Size this void String byte data index find Item item list null current length move else check return remove clear 
org.coolreader.db.CoverDB,public void clear Caches coverpage save Book Coverpage String book byte data Data null return Opened ensure Lite Statement stmt existing string Query SELECT path FROM coverpages WHERE quote compile INSERT INTO imagedata VALUES bind Blob execute saved length bytes catch Exception while trying Message finally close load Cursor move First error reading delete remove Ignore Errors DELETE 
org.koekak.android.ebookdownloader.SonyBookSelector,public Sony Book Selector Activity activity long Content String filename Cursor cursor null package File exists does return fname Absolute Path Canonical catch Exception canonical starts With extsd substring length else sdcard parse content sony drbd ebook provider books Resolver query path source move First Long Column Index database error close wrong requested void notify Scanner Intent intent mediascanner Media Service Bundle bundle Extras Reading Time with Appended Values contentvalues reading time System current Millis update Selection android action selected send Broadcast 
de.telekom.epub.utils.ScreenHelper,public static native Full Refresh Partial left right bottom Regional mode waveform Color param Array 
